hangUp,hangUp_User2Phone_SQ_tmpl.provn,SQ
connect,connect_Phone2CellTower_SQ_tmpl.provn,SQ
pickUp,pickUp_User2Phone_SQ_tmpl.provn,SQ
call,call_User2Phone_SQ_tmpl.provn,SQ
disconnect,disconnect_Phone2CellTower_SQ_tmpl.provn,SQ
initIdle,Phone_initIdle_SD_tmpl.provn,SD
endCall,User_endCall_SD_tmpl.provn,SD
pickCellup,User_pickCellup_SD_tmpl.provn,SD
markNumber,User_markNumber_SD_tmpl.provn,SD
disconnect,CellTower_disconnect_SD_tmpl.provn,SD
hangUp,Phone_hangUp_SD_tmpl.provn,SD
call,Phone_call_SD_tmpl.provn,SD
initDisconnected,CellTower_initDisconnected_SD_tmpl.provn,SD
initIdle,User_initIdle_SD_tmpl.provn,SD
pickUp,Phone_pickUp_SD_tmpl.provn,SD
connect,CellTower_connect_SD_tmpl.provn,SD
hangUp,hangUp_User2Phone_SQ_tmpl.provn,SQ
connect,connect_Phone2CellTower_SQ_tmpl.provn,SQ
pickUp,pickUp_User2Phone_SQ_tmpl.provn,SQ
call,call_User2Phone_SQ_tmpl.provn,SQ
disconnect,disconnect_Phone2CellTower_SQ_tmpl.provn,SQ
initIdle,Phone_initIdle_SD_tmpl.provn,SD
endCall,User_endCall_SD_tmpl.provn,SD
pickCellup,User_pickCellup_SD_tmpl.provn,SD
markNumber,User_markNumber_SD_tmpl.provn,SD
disconnect,CellTower_disconnect_SD_tmpl.provn,SD
hangUp,Phone_hangUp_SD_tmpl.provn,SD
call,Phone_call_SD_tmpl.provn,SD
initDisconnected,CellTower_initDisconnected_SD_tmpl.provn,SD
initIdle,User_initIdle_SD_tmpl.provn,SD
pickUp,Phone_pickUp_SD_tmpl.provn,SD
connect,CellTower_connect_SD_tmpl.provn,SD
hangUp,hangUp_User2Phone_SQ_tmpl.provn,SQ
connect,connect_Phone2CellTower_SQ_tmpl.provn,SQ
pickUp,pickUp_User2Phone_SQ_tmpl.provn,SQ
call,call_User2Phone_SQ_tmpl.provn,SQ
disconnect,disconnect_Phone2CellTower_SQ_tmpl.provn,SQ
initIdle,Phone_initIdle_SD_tmpl.provn,SD
endCall,User_endCall_SD_tmpl.provn,SD
pickCellup,User_pickCellup_SD_tmpl.provn,SD
markNumber,User_markNumber_SD_tmpl.provn,SD
disconnect,CellTower_disconnect_SD_tmpl.provn,SD
hangUp,Phone_hangUp_SD_tmpl.provn,SD
call,Phone_call_SD_tmpl.provn,SD
initDisconnected,CellTower_initDisconnected_SD_tmpl.provn,SD
initIdle,User_initIdle_SD_tmpl.provn,SD
pickUp,Phone_pickUp_SD_tmpl.provn,SD
connect,CellTower_connect_SD_tmpl.provn,SD
hangUp,hangUp_User2Phone_SQ_tmpl.provn,SQ
connect,connect_Phone2CellTower_SQ_tmpl.provn,SQ
pickUp,pickUp_User2Phone_SQ_tmpl.provn,SQ
call,call_User2Phone_SQ_tmpl.provn,SQ
disconnect,disconnect_Phone2CellTower_SQ_tmpl.provn,SQ
initIdle,Phone_initIdle_SD_tmpl.provn,SD
endCall,User_endCall_SD_tmpl.provn,SD
pickCellup,User_pickCellup_SD_tmpl.provn,SD
markNumber,User_markNumber_SD_tmpl.provn,SD
disconnect,CellTower_disconnect_SD_tmpl.provn,SD
hangUp,Phone_hangUp_SD_tmpl.provn,SD
call,Phone_call_SD_tmpl.provn,SD
initDisconnected,CellTower_initDisconnected_SD_tmpl.provn,SD
initIdle,User_initIdle_SD_tmpl.provn,SD
pickUp,Phone_pickUp_SD_tmpl.provn,SD
connect,CellTower_connect_SD_tmpl.provn,SD
